REF_PARCELA,X,Y,DIRECCION_CATASTRO,ESTADO_CATASTRO,ZONA
8531101BC5983S,0.218817857787491,38.7520062982949,CL SARDINA 2 JAVEA/XABIA (ALICANTE),OK,12
9322011BC5992S,0.228265850546761,38.7431562058483,CL CHARLES IVES 18 JAVEA/XABIA (ALICANTE),OK,12
2866719BC5926N,0.153020517859848,38.7818382034865,CL MEDINACELI 13 2 JAVEA/XABIA (ALICANTE),OK,1
6033009BC5953S,0.191069175988708,38.7511741082797,CL BALADRE 23 JAVEA/XABIA (ALICANTE),OK,12
0826503BC5981N,0.216857488006161,38.7371515921608,UR BALCON AL MAR B 2 JAVEA/XABIA (ALICANTE),OK,12
7411703BC5971S,0.20668713489661,38.7337005661346,UR COSTA NOVA LA MARINA 174 JAVEA/XABIA (ALICANTE),OK,12
6708014BC5960N,0.200634845541559,38.7311704235359,CL TRENCAPINYOLS 6 JAVEA/XABIA (ALICANTE),OK,12
4786018BC5948N,0.172483216300901,38.7998468759388,CL PENAGUILA 52 JAVEA/XABIA (ALICANTE),OK,6
9580918BC4998S,0.11368592765131,38.7941203066584,CL NICARAGUA 8 JAVEA/XABIA (ALICANTE),OK,1
2578965BC5927N,0.151430984741406,38.7916927608575,CM DELS CASTELLANS 34(A) JAVEA/XABIA (ALICANTE),OK,2
4938002BC5943N,0.17710133791091,38.7570419010078,CL MIGUEL CABRERA 24 JAVEA/XABIA (ALICANTE),OK,1
2236921BC5923N,0.148582555620951,38.7540609435955,CL DANTE ALIGHIERI 6 JAVEA/XABIA (ALICANTE),OK,1
7132002BC5973S,0.203472532374137,38.7525025385633,CL BLEDA 16 JAVEA/XABIA (ALICANTE),OK,12
8920802BC5982S,0.224082194049455,38.7421496030358,CL GUSTAV MAHLER 31 JAVEA/XABIA (ALICANTE),OK,12
3750483BC5934N,0.166492962792009,38.7662104907645,CL SHARQ AL-ANDALUS 31 JAVEA/XABIA (ALICANTE),OK,1
2963083BC5936N,0.158424052653546,38.7814071102035,TR SORTS LES 11 JAVEA/XABIA (ALICANTE),OK,1
8821019BC5982S,0.223223991572151,38.7432307004306,UR BALCON AL MAR E 76 JAVEA/XABIA (ALICANTE),OK,12
5431020BC5953S,0.185189997477499,38.7502360349132,PD CA CANSALA 142 JAVEA/XABIA (ALICANTE),OK,12
3983509BC5938S,0.165819068037989,38.7969221482394,CL ALMORADI 2 JAVEA/XABIA (ALICANTE),OK,1
8630010BC5983S,0.222033224563284,38.7508176217889,CL ANGUILA 56 JAVEA/XABIA (ALICANTE),OK,12
8138008BC5983N,0.213740158975563,38.7576982502072,CL XICORIA 29 JAVEA/XABIA (ALICANTE),OK,12
6158202BC5958S,0.178203247591239,38.7991920909565,UR CORONA LA 4 28 JAVEA/XABIA (ALICANTE),OK,6
5144403BC5954S,0.181070310843325,38.7621756372326,CM ADSUBIES 271 JAVEA/XABIA (ALICANTE),OK,1
6834005BC5963S,0.200112752102133,38.7536340741791,UR TOSALET 1010 JAVEA/XABIA (ALICANTE),OK,12
