N_Fijo,CODIGO_VT,Ref_Catastral_Fin,AFORO,VALORCATASTRAL,COEFICIENTE_CATASTRAL,TASA_VIVIENDA,PLUS_VIVIENDA_TURISTICA,TASA_TOTAL,VALORCATASTRAL_NUM,COEFICIENTE_CATASTRAL_NUM,TASA_VIVIENDA_NUM,TASA_TOTAL_NUM,FINCA,HOJA,INMUEBLE,CONTROL,HOJA_BASE,ZONA
1017378,511453,7734503BC5973S0001QX,8,"55.867,84","0,974","133,76",160,"293,76",55867.84,0.974,133.76,293.76,7734503,BC5973S,0001,QX,BC5973,Tosalet / Cap Martí
1019088,496866,5856804BC5955N0003QL,8,"55.908,05","0,974","133,77",160,"293,77",55908.05,0.974,133.77,293.77,5856804,BC5955N,0003,QL,BC5955,Arenal / Canal / Montañar
1024681,497193,8525343BC5982S0001FO,8,"55.908,63","0,974","133,77",160,"293,77",55908.63,0.974,133.77,293.77,8525343,BC5982S,0001,FO,BC5982,Costa Nova / Balcón al Mar / Ambolo
1017580,480036,6451301BC5965S0036ZO,8,"56.210,36","0,980","133,82",160,"293,82",56210.36,0.98,133.82,293.82,6451301,BC5965S,0036,ZO,BC5965,Puerto / Aduanas
1026420,476682,4871006BC5947S0014RL,8,"56.213,72","0,980","133,82",160,"293,82",56213.72,0.98,133.82,293.82,4871006,BC5947S,0014,RL,BC5947,Casco urbano / Pueblo
1023038,499996,5431006BC5953S0001FF,8,"56.786,55","0,990","133,91",160,"293,91",56786.55,0.99,133.91,293.91,5431006,BC5953S,0001,FF,BC5953,Arenal / Canal / Montañar
1000228,497674,6140512BC5963N0001DP,8,"56.851,74","0,991","133,92",160,"293,92",56851.74,0.991,133.92,293.92,6140512,BC5963N,0001,DP,BC5963,Puerto / Aduanas
1025731,470670,5750211BC5955S0051QF,8,"57.346,92","0,999","133,99",160,"293,99",57346.92,0.999,133.99,293.99,5750211,BC5955S,0051,QF,BC5955,Arenal / Canal / Montañar
1010689,483402,1195358BC5917N0001OS,8,"57.395,75","1,000","134,00",160,"294,00",57395.75,1.0,134.0,294.0,1195358,BC5917N,0001,OS,BC5917,Montgó / Toscamar
1005030,487093,4836801BC5943N0001RW,8,"57.709,97","1,006","134,05",160,"294,05",57709.97,1.006,134.05,294.05,4836801,BC5943N,0001,RW,BC5943,Casco urbano / Pueblo
1004909,479278,2573404BC5927S0001MQ,8,"58.036,19","1,011","134,10",160,"294,10",58036.19,1.011,134.1,294.1,2573404,BC5927S,0001,MQ,BC5927,Rafalet / Lluca / Covatelles
1011905,485635,7043223BC5974S0001JH,8,"58.127,25","1,013","134,12",160,"294,12",58127.25,1.013,134.12,294.12,7043223,BC5974S,0001,JH,BC5974,Portitxol / Toscal / Trencall
1024142,462247,7816202BC5981N0001RU,8,"58.226,63","1,015","134,13",160,"294,13",58226.63,1.015,134.13,294.13,7816202,BC5981N,0001,RU,BC5981,Portitxol / Toscal / Trencall
1012614,510456,5437003BC5953N0001JY,8,"58.466,17","1,019","134,17",160,"294,17",58466.17,1.019,134.17,294.17,5437003,BC5953N,0001,JY,BC5953,Arenal / Canal / Montañar
1007276,469915,7124305BC5972S0001QT,8,"58.500,82","1,020","134,18",160,"294,18",58500.82,1.02,134.18,294.18,7124305,BC5972S,0001,QT,BC5972,Tosalet / Cap Martí
1004671,462190,0012014BC5905S0001UT,8,"58.551,99","1,020","134,18",160,"294,18",58551.99,1.02,134.18,294.18,0012014,BC5905S,0001,UT,BC5905,Montgó / Toscamar
1010070,458511,8531105BC5983S0001JE,8,"58.600,24","1,021","134,19",160,"294,19",58600.24,1.021,134.19,294.19,8531105,BC5983S,0001,JE,BC5983,Costa Nova / Balcón al Mar / Ambolo
1030120,471318,3569010BC5936N0001LE,8,"58.644,43","1,022","134,20",160,"294,20",58644.43,1.022,134.2,294.2,3569010,BC5936N,0001,LE,BC5936,Casco urbano / Pueblo
1006873,499966,6660008BC5964N0030AQ,8,"58.710,57","1,023","134,21",160,"294,21",58710.57,1.023,134.21,294.21,6660008,BC5964N,0030,AQ,BC5964,Puerto / Aduanas
1021898,486645,5169036BC5956N0151LE,8,"58.714,73","1,023","134,21",160,"294,21",58714.73,1.023,134.21,294.21,5169036,BC5956N,0151,LE,BC5956,Arenal / Canal / Montañar
1017443,476771,7825205BC5972N0001GB,8,"58.794,25","1,025","134,22",160,"294,22",58794.25,1.025,134.22,294.22,7825205,BC5972N,0001,GB,BC5972,Tosalet / Cap Martí
1028819,465007,2480604BC5928S0001DK,8,"58.814,25","1,025","134,22",160,"294,22",58814.25,1.025,134.22,294.22,2480604,BC5928S,0001,DK,BC5928,Rafalet / Lluca / Covatelles
1024087,479318,5174002BC5957S0027HP,8,"58.893,41","1,026","134,24",160,"294,24",58893.41,1.026,134.24,294.24,5174002,BC5957S,0027,HP,BC5957,Arenal / Canal / Montañar
1010668,445053,2866707BC5926N0001KX,8,"58.999,21","1,028","134,25",160,"294,25",58999.21,1.028,134.25,294.25,2866707,BC5926N,0001,KX,BC5926,Rafalet / Lluca / Covatelles
1003446,496343,7043222BC5974S0001IH,8,"59.095,38","1,030","134,27",160,"294,27",59095.38,1.03,134.27,294.27,7043222,BC5974S,0001,IH,BC5974,Portitxol / Toscal / Trencall
1000225,502578,4947006BC5944N0001EL,8,"59.143,10","1,031","134,28",160,"294,28",59143.1,1.031,134.28,294.28,4947006,BC5944N,0001,EL,BC5944,Casco urbano / Pueblo
1017683,466624,4727011BC5942N0001DI,8,"59.225,07","1,032","134,29",160,"294,29",59225.07,1.032,134.29,294.29,4727011,BC5942N,0001,DI,BC5942,Casco urbano / Pueblo
1014957,495497,3471501BC5937S0001AT,8,"59.309,45","1,034","134,30",160,"294,30",59309.45,1.034,134.3,294.3,3471501,BC5937S,0001,AT,BC5937,Casco urbano / Pueblo
1024147,477792,5232402BC5953S0001GF,8,"59.647,87","1,040","134,36",160,"294,36",59647.87,1.04,134.36,294.36,5232402,BC5953S,0001,GF,BC5953,Arenal / Canal / Montañar
